name,elected,party,constituency,votes,history,club,dob,education,expired,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate,party_name,party_acronym
Wanda Nowicka,09-10-2011,Ruch Palikota,19 Warszawa,7065,brak,Posłanka niezrzeszona,"21-11-1956, Lublin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Mirosława Nykiel,09-10-2011,Platforma Obywatelska,27 Bielsko-Biała,43329,"senator VI kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-09-1953, Wańkowa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:1:0:1,3,1,3,2,Platforma Obywatelska,PO
Marzena Okła-Drewnowicz,09-10-2011,Platforma Obywatelska,33 Kielce,34745,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"20-05-1972, Skarżysko-Kamienna",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Janina Okrągły,09-10-2011,Platforma Obywatelska,21 Opole,11418,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"27-06-1955, Sosnowiec",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Alicja Olechowska,09-10-2011,Platforma Obywatelska,20 Warszawa,10884,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"10-02-1956, Grodzisk Mazowiecki",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Cezary Olejniczak,09-10-2011,Sojusz Lewicy Demokratycznej,11 Sieradz,7082,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"12-10-1972, Łowicz",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Paweł Olszewski,09-10-2011,Platforma Obywatelska,4 Bydgoszcz,9257,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"11-12-1979, Bydgoszcz",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Marek Opioła,09-10-2011,Prawo i Sprawiedliwość,16 Płock,9545,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"24-09-1976, Warszawa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Andrzej Orzechowski,09-10-2011,Platforma Obywatelska,35 Olsztyn,12046,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"10-11-1962, Rutki",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Maciej Orzechowski,09-10-2011,Platforma Obywatelska,36 Kalisz,14123,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-05-1971, Krotoszyn",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Artur Ostrowski,09-10-2011,Sojusz Lewicy Demokratycznej,10 Piotrków Trybunalski,7884,"poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"29-08-1968, Piotrków Trybunalski",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Sojusz Lewicy Demokratycznej,SLD
Jacek Osuch,09-10-2011,Prawo i Sprawiedliwość,13 Kraków,10997,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"28-08-1958, Olkusz",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Konstanty Oświęcimski,09-10-2011,Platforma Obywatelska,41 Szczecin,7459,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"19-09-1964, Trzebiatów",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Krystyna Ozga,09-10-2011,Polskie Stronnictwo Ludowe,10 Piotrków Trybunalski,9207,"poseł II kadencji, poseł IV kadencji, poseł V kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"20-06-1944, Częstochowa",wyższe,None,0:1:0:1:1:0:1,0:0:0:0:0:0:0:1,2,1,5,1,Polskie Stronnictwo Ludowe,PSL
Stanisław Ożóg,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,37160,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"27-05-1953, Sokołów Małopolski",wyższe,2014-05-27,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Zbigniew Pacelt,09-10-2011,Platforma Obywatelska,33 Kielce,8842,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"26-08-1951, Ostrowiec Świętokrzyski",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Michał Tomasz Pacholski,09-10-2011,Ruch Palikota,11 Sieradz,12918,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"31-10-1985, Łęczyca",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Witold Pahl,09-10-2011,Platforma Obywatelska,8 Zielona Góra,7235,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"07-12-1961, Wrocław",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Janusz Palikot,09-10-2011,Ruch Palikota,19 Warszawa,94811,"poseł V kadencji, poseł VI kadencji",Koło Poselskie Ruch Palikota,"26-10-1964, Biłgoraj",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Ruch Palikota,RP
Anna Paluch,09-10-2011,Prawo i Sprawiedliwość,14 Nowy Sącz,9764,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"31-03-1960, Nowy Targ",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Paweł Papke,09-10-2011,Platforma Obywatelska,35 Olsztyn,10132,brak,Klub Parlamentarny Platforma Obywatelska,"13-02-1977, Starogard Gdański",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Mirosław Pawlak,09-10-2011,Polskie Stronnictwo Ludowe,33 Kielce,6317,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"02-04-1942, Zielonki",wyższe,None,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1,Polskie Stronnictwo Ludowe,PSL
Waldemar Pawlak,09-10-2011,Polskie Stronnictwo Ludowe,16 Płock,24491,"poseł X kadencji, poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"05-09-1959, Model",wyższe,None,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Polskie Stronnictwo Ludowe,PSL
Krystyna Pawłowicz,09-10-2011,Prawo i Sprawiedliwość,18 Siedlce,20681,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"14-04-1952, Wojcieszów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Wojciech Penkalski,09-10-2011,Ruch Palikota,34 Elbląg,9255,brak,Poseł niezrzeszony,"17-05-1974, Braniewo",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Małgorzata Pępek,09-10-2011,Platforma Obywatelska,27 Bielsko-Biała,12723,brak,Klub Parlamentarny Platforma Obywatelska,"10-06-1961, Kocierz Rydzwałdzki",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Andrzej Piątak,09-10-2011,Ruch Palikota,41 Szczecin,15579,brak,Poseł niezrzeszony,"02-09-1969, Szczecin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Bolesław Grzegorz Piecha,09-10-2011,Prawo i Sprawiedliwość,30 Rybnik,34520,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-09-1954, Rybnik",wyższe,2013-04-24,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Janusz Piechociński,09-10-2011,Polskie Stronnictwo Ludowe,20 Warszawa,11638,"poseł I kadencji, poseł II kadencji, poseł IV kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"15-03-1960, Studzianki Pancerne",wyższe,None,1:1:0:1:0:1:1,0:0:0:0:0:0:0:1,3,1,6,1,Polskie Stronnictwo Ludowe,PSL
Sławomir Jan Piechota,09-10-2011,Platforma Obywatelska,3 Wrocław,11750,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"01-01-1960, Tomaszów Mazowiecki",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Elżbieta Apolonia Pierzchała,09-10-2011,Platforma Obywatelska,31 Katowice,14557,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"05-07-1954, Sosnowiec",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Danuta Pietraszewska,09-10-2011,Platforma Obywatelska,31 Katowice,25496,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"08-05-1947, Ruda Śląska",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Lucjan Marek Pietrzczyk,09-10-2011,Platforma Obywatelska,33 Kielce,6057,brak,Klub Parlamentarny Platforma Obywatelska,"24-03-1960, Bilcza",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Jarosław Pięta,09-10-2011,Platforma Obywatelska,32 Sosnowiec,9309,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"27-12-1964, Sosnowiec",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Stanisław Pięta,09-10-2011,Prawo i Sprawiedliwość,27 Bielsko-Biała,12708,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"09-05-1971, Bielsko-Biała",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Dariusz Piontkowski,09-10-2011,Prawo i Sprawiedliwość,24 Białystok,14439,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"17-12-1964, Sielc",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Stanisław Piotrowicz,09-10-2011,Prawo i Sprawiedliwość,22 Krosno,12325,senator VII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"19-07-1952, Bochnia",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:1:1,2,2,2,2,Prawo i Sprawiedliwość,PiS
Teresa Piotrowska,09-10-2011,Platforma Obywatelska,4 Bydgoszcz,10009,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"05-02-1955, Tczew",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Julia Pitera,09-10-2011,Platforma Obywatelska,16 Płock,29095,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"26-05-1953, Warszawa",wyższe,2014-05-27,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Kazimierz Plocke,09-10-2011,Platforma Obywatelska,26 Gdynia,18452,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"03-05-1958, Domatowo",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Marek Plura,09-10-2011,Platforma Obywatelska,31 Katowice,22795,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"18-07-1970, Racibórz",wyższe,2014-05-27,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Mirosław Pluta,09-10-2011,Platforma Obywatelska,23 Rzeszów,12812,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"09-03-1960, Baranów Sandomierski",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jerzy Polaczek,09-10-2011,Prawo i Sprawiedliwość,29 Gliwice,22310,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"24-08-1961, Piekary Śląskie",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Prawo i Sprawiedliwość,PiS
Marek Polak,09-10-2011,Prawo i Sprawiedliwość,12 Kraków,6341,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-11-1963, Wadowice",średnie zawodowe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Piotr Polak,09-10-2011,Prawo i Sprawiedliwość,11 Sieradz,9022,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"20-01-1961, Grabinka",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Agnieszka Pomaska,09-10-2011,Platforma Obywatelska,25 Gdańsk,16117,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"08-01-1980, Gdynia",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Krzysztof Popiołek,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,12755,poseł VI kadencji,Klub Parlamentarny Zjednoczona Prawica,"16-02-1956, Babule",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Zjednoczona Prawica,ZP
Zofia Popiołek,09-10-2011,Ruch Palikota,6 Lublin,18752,brak,Koło Poselskie Ruch Palikota,"20-06-1952, Lublin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Krystyna Poślednia,09-10-2011,Platforma Obywatelska,37 Konin,8714,brak,Klub Parlamentarny Platforma Obywatelska,"15-03-1957, Września",wyższe,2014-04-01,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Marek Poznański,09-10-2011,Ruch Palikota,7 Chełm,16640,brak,Poseł niezrzeszony,"14-10-1984, Hrubieszów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Stanisława Prządka,09-10-2011,Sojusz Lewicy Demokratycznej,18 Siedlce,8717,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"06-05-1943, Karczmiska",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Sojusz Lewicy Demokratycznej,SLD
Piotr Pyzik,09-10-2011,Prawo i Sprawiedliwość,29 Gliwice,12039,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"01-01-1959, Puławy",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Józef Racki,09-10-2011,Polskie Stronnictwo Ludowe,36 Kalisz,6179,poseł VI kadencji,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"28-03-1943, Mdzewko",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Polskie Stronnictwo Ludowe,PSL
Damian Raczkowski,09-10-2011,Platforma Obywatelska,24 Białystok,10271,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"11-04-1975, Białystok",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Elżbieta Radziszewska,09-10-2011,Platforma Obywatelska,10 Piotrków Trybunalski,19269,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"06-01-1958, Białocin",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Platforma Obywatelska,PO
Elżbieta Rafalska,09-10-2011,Prawo i Sprawiedliwość,8 Zielona Góra,14812,"senator VI kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"22-06-1955, Wschowa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:1:0:1,3,1,3,2,Prawo i Sprawiedliwość,PiS
Grzegorz Raniewicz,09-10-2011,Platforma Obywatelska,7 Chełm,7907,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"09-07-1970, Chełm",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Ireneusz Raś,09-10-2011,Platforma Obywatelska,13 Kraków,31455,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"30-09-1972, Proszowice",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Jerzy Rębek,09-10-2011,Prawo i Sprawiedliwość,7 Chełm,7503,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"10-02-1960, Radzyń Podlaski",wyższe,2014-12-03,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Adam Rogacki,09-10-2011,Prawo i Sprawiedliwość,36 Kalisz,14903,"poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"20-02-1976, Kalisz",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Niezrzeszony,nz.
Józef Rojek,09-10-2011,Prawo i Sprawiedliwość,15 Tarnów,15978,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"20-03-1950, Ropczyce",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Zjednoczona Prawica,ZP
Andrzej Romanek,09-10-2011,Prawo i Sprawiedliwość,14 Nowy Sącz,9743,brak,Klub Parlamentarny Zjednoczona Prawica,"01-11-1967, Grybów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Zjednoczona Prawica,ZP
Dariusz Rosati,09-10-2011,Platforma Obywatelska,20 Warszawa,59562,brak,Klub Parlamentarny Platforma Obywatelska,"08-08-1946, Radom",wyższe,2014-05-27,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Andrzej Rozenek,09-10-2011,Ruch Palikota,31 Katowice,15793,brak,Koło Poselskie Biało-Czerwoni,"17-03-1969, Warszawa",średnie ogólne,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Biało-Czerwoni,B-C
Halina Rozpondek,09-10-2011,Platforma Obywatelska,28 Częstochowa,23722,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"25-05-1950, Częstochowa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Jarosław Rusiecki,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,7323,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"20-07-1961, Nieskurzów Stary",wyższe,2014-09-10,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Dorota Rutkowska,09-10-2011,Platforma Obywatelska,10 Piotrków Trybunalski,10268,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"24-01-1962, Skierniewice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jakub Rutnicki,09-10-2011,Platforma Obywatelska,38 Piła,19784,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"03-12-1978, Szamotuły",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Adam Rybakowicz,09-10-2011,Ruch Palikota,24 Białystok,11792,brak,Koło Poselskie Ruch Palikota,"04-04-1984, Augustów",średnie ogólne,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Sławomir Rybicki,09-10-2011,Platforma Obywatelska,34 Elbląg,13644,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-06-1960, Gdańsk",wyższe,2012-01-17,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Armand Kamil Ryfiński,09-10-2011,Ruch Palikota,17 Radom,7812,brak,Poseł niezrzeszony,"29-11-1974, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Zbigniew Rynasiewicz,09-10-2011,Platforma Obywatelska,23 Rzeszów,27510,"poseł III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"04-10-1963, Grodzisko Dolne",wyższe,2015-06-01,0:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,5,1,Platforma Obywatelska,PO
Marek Rząsa,09-10-2011,Platforma Obywatelska,22 Krosno,9204,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-10-1957, Rzeszów",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Bogdan Rzońca,09-10-2011,Prawo i Sprawiedliwość,22 Krosno,15623,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"01-02-1961, Zarzecze",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Małgorzata Sadurska,09-10-2011,Prawo i Sprawiedliwość,6 Lublin,15946,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"03-12-1975, Puławy",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Paweł Sajak,09-10-2011,Ruch Palikota,16 Płock,7747,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"22-12-1977, Żyrardów",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Wojciech Saługa,09-10-2011,Platforma Obywatelska,32 Sosnowiec,26368,"senator V kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"27-03-1969, Jaworzno",wyższe,2014-12-01,0:0:0:0:1:1:1,0:0:0:0:1:0:0:1,4,1,4,2,Platforma Obywatelska,PO
Jacek Sasin,09-10-2011,Prawo i Sprawiedliwość,20 Warszawa,29134,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"06-11-1969, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Marek Sawicki,09-10-2011,Polskie Stronnictwo Ludowe,18 Siedlce,23901,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"08-04-1958, Sawice",wyższe,None,0:1:1:1:1:1:1,0:0:0:0:0:0:0:1,7,1,7,1,Polskie Stronnictwo Ludowe,PSL
Grzegorz Schetyna,09-10-2011,Platforma Obywatelska,1 Legnica,67670,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"18-02-1963, Opole",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Platforma Obywatelska,PO
Grzegorz Schreiber,09-10-2011,Prawo i Sprawiedliwość,11 Sieradz,17808,"poseł I kadencji, poseł III kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"14-02-1961, Bydgoszcz",wyższe,None,1:0:1:0:0:0:1,0:0:0:0:0:0:0:1,2,1,4,1,Prawo i Sprawiedliwość,PiS
Małgorzata Sekuła-Szmajdzińska,09-10-2011,Sojusz Lewicy Demokratycznej,1 Legnica,15883,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"19-04-1956, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Dariusz Seliga,09-10-2011,Prawo i Sprawiedliwość,10 Piotrków Trybunalski,8129,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"10-04-1969, Skierniewice",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Jarosław Sellin,09-10-2011,Prawo i Sprawiedliwość,26 Gdynia,9932,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"01-05-1963, Gdynia",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Edward Siarka,09-10-2011,Prawo i Sprawiedliwość,14 Nowy Sącz,13264,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"07-07-1963, Rabka",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Zjednoczona Prawica,ZP
Krystyna Sibińska,09-10-2011,Platforma Obywatelska,8 Zielona Góra,8756,brak,Klub Parlamentarny Platforma Obywatelska,"12-06-1962, Złocieniec",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Henryk Siedlaczek,09-10-2011,Platforma Obywatelska,30 Rybnik,20019,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"30-01-1956, Wodzisław Śląski",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Radosław Sikorski,09-10-2011,Platforma Obywatelska,4 Bydgoszcz,91720,"senator VI kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-02-1963, Bydgoszcz",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:1:0:1,3,1,3,2,Platforma Obywatelska,PO
